date,data
2011-04-18:15:25:00,17.055
2011-04-18:15:30:00,20.79
2011-04-18:15:35:00,18.525
2011-04-18:15:40:00,24.119999999999997
2011-04-18:15:45:00,24.435
2011-04-18:15:50:00,22.38
2011-04-18:15:55:00,24.96
2011-04-18:16:00:00,22.38
2011-04-18:16:05:00,18.075000000000003
2011-04-18:16:10:00,19.335
2011-04-18:16:15:00,26.25
2011-04-18:16:20:00,22.35
2011-04-18:16:25:00,24.705
2011-04-18:16:30:00,27.945
2011-04-18:16:35:00,25.799999999999997
2011-04-18:16:40:00,21.6
2011-04-18:16:45:00,24.915
2011-04-18:16:50:00,21.015
2011-04-18:16:55:00,23.025
2011-04-18:17:00:00,53.13
2011-04-18:17:05:00,35.955
2011-04-18:17:10:00,19.634999999999998
2011-04-18:17:15:00,18.75
2011-04-18:17:20:00,19.740000000000002
2011-04-18:17:25:00,21.27
2011-04-18:17:30:00,22.035
2011-04-18:17:35:00,29.25
2011-04-18:17:40:00,24.75
2011-04-18:17:45:00,21.435
2011-04-18:17:50:00,21.645
2011-04-18:17:55:00,19.32
2011-04-18:18:00:00,24.21
2011-04-18:18:05:00,19.544999999999998
2011-04-18:18:10:00,21.615000000000002
2011-04-18:18:15:00,17.669999999999998
2011-04-18:18:20:00,17.94
2011-04-18:18:25:00,16.59
2011-04-18:18:30:00,19.38
2011-04-18:18:35:00,14.355
2011-04-18:18:40:00,17.505
2011-04-18:18:45:00,21.78
2011-04-18:18:50:00,15.600000000000001
2011-04-18:18:55:00,17.655
2011-04-18:19:00:00,51.12
2011-04-18:19:05:00,22.77
2011-04-18:19:10:00,15.899999999999999
2011-04-18:19:15:00,14.580000000000002
2011-04-18:19:20:00,10.995000000000001
2011-04-18:19:25:00,13.799999999999999
2011-04-18:19:30:00,10.68
2011-04-18:19:35:00,11.805
2011-04-18:19:40:00,8.774999999999999
2011-04-18:19:45:00,9.540000000000001
2011-04-18:19:50:00,9.675
2011-04-18:19:55:00,6.93
2011-04-18:20:00:00,9.600000000000001
2011-04-18:20:05:00,7.98
2011-04-18:20:10:00,6.5249999999999995
2011-04-18:20:15:00,6.720000000000001
2011-04-18:20:20:00,5.91
2011-04-18:20:25:00,6.029999999999999
2011-04-18:20:30:00,6.404999999999999
2011-04-18:20:35:00,6.945
2011-04-18:20:40:00,12.315000000000001
2011-04-18:20:45:00,24.660000000000004
2011-04-18:20:50:00,24.57
2011-04-18:20:55:00,26.685
2011-04-18:21:00:00,49.41
2011-04-18:21:05:00,31.455
2011-04-18:21:10:00,25.049999999999997
2011-04-18:21:15:00,25.349999999999998
2011-04-18:21:20:00,26.099999999999998
2011-04-18:21:25:00,23.985
2011-04-18:21:30:00,25.380000000000003
2011-04-18:21:35:00,24.630000000000003
2011-04-18:21:40:00,23.009999999999998
2011-04-18:21:45:00,24.765
2011-04-18:21:50:00,25.619999999999997
2011-04-18:21:55:00,23.669999999999998
2011-04-18:22:00:00,25.275000000000002
2011-04-18:22:05:00,24.645
2011-04-18:22:10:00,24.54
2011-04-18:22:15:00,24.345
2011-04-18:22:20:00,22.665
2011-04-18:22:25:00,23.1
2011-04-18:22:30:00,23.145
2011-04-18:22:35:00,24.585
2011-04-18:22:40:00,24.299999999999997
2011-04-18:22:45:00,24.33
2011-04-18:22:50:00,24.089999999999996
2011-04-18:22:55:00,23.835
2011-04-18:23:00:00,48.105000000000004
2011-04-18:23:05:00,30.48
2011-04-18:23:10:00,25.335
2011-04-18:23:15:00,24.54
2011-04-18:23:20:00,23.22
2011-04-18:23:25:00,11.040000000000001
2011-04-18:23:30:00,13.125
2011-04-18:23:35:00,3.3899999999999997
2011-04-18:23:40:00,4.155
2011-04-18:23:45:00,3.375
2011-04-18:23:50:00,2.6550000000000002
2011-04-18:23:55:00,4.4399999999999995
2011-04-19:00:00:00,3.7350000000000003
2011-04-19:00:05:00,3.7649999999999997
2011-04-19:00:10:00,3.63
2011-04-19:00:15:00,2.9699999999999998
2011-04-19:00:20:00,2.265
2011-04-19:00:25:00,3.3899999999999997
2011-04-19:00:30:00,8.19
2011-04-19:00:35:00,2.535
2011-04-19:00:40:00,2.085
2011-04-19:00:45:00,3.885
2011-04-19:00:50:00,1.875
2011-04-19:00:55:00,2.13
2011-04-19:01:00:00,19.02
2011-04-19:01:05:00,2.2800000000000002
2011-04-19:01:10:00,2.7
2011-04-19:01:15:00,3.7800000000000002
2011-04-19:01:20:00,1.845
2011-04-19:01:25:00,1.875
2011-04-19:01:30:00,4.59
2011-04-19:01:35:00,5.22
2011-04-19:01:40:00,4.38
2011-04-19:01:45:00,3.165
2011-04-19:01:50:00,2.7750000000000004
2011-04-19:01:55:00,2.235
2011-04-19:02:00:00,6.9750000000000005
2011-04-19:02:05:00,2.94
2011-04-19:02:10:00,2.265
2011-04-19:02:15:00,2.94
2011-04-19:02:20:00,2.46
2011-04-19:02:25:00,1.845
2011-04-19:02:30:00,2.58
2011-04-19:02:35:00,1.845
2011-04-19:02:40:00,2.985
2011-04-19:02:45:00,2.79
2011-04-19:02:50:00,3.045
2011-04-19:02:55:00,2.7
2011-04-19:03:00:00,17.835
2011-04-19:03:05:00,2.61
2011-04-19:03:10:00,3.2249999999999996
2011-04-19:03:15:00,3.435
2011-04-19:03:20:00,1.3800000000000001
2011-04-19:03:25:00,2.58
2011-04-19:03:30:00,2.07
2011-04-19:03:35:00,3.3000000000000003
2011-04-19:03:40:00,1.4849999999999999
2011-04-19:03:45:00,2.835
2011-04-19:03:50:00,1.185
2011-04-19:03:55:00,1.56
2011-04-19:04:00:00,3.57
2011-04-19:04:05:00,1.5
2011-04-19:04:10:00,1.56
2011-04-19:04:15:00,3.3600000000000003
2011-04-19:04:20:00,1.365
2011-04-19:04:25:00,9.93
2011-04-19:04:30:00,2.085
2011-04-19:04:35:00,2.925
2011-04-19:04:40:00,2.145
2011-04-19:04:45:00,2.745
2011-04-19:04:50:00,2.835
2011-04-19:04:55:00,1.98
2011-04-19:05:00:00,27.06
2011-04-19:05:05:00,5.025
2011-04-19:05:10:00,3.3899999999999997
2011-04-19:05:15:00,4.17
2011-04-19:05:20:00,3.495
2011-04-19:05:25:00,3.81
2011-04-19:05:30:00,3.0149999999999997
2011-04-19:05:35:00,2.07
2011-04-19:05:40:00,3.5999999999999996
2011-04-19:05:45:00,2.73
2011-04-19:05:50:00,1.905
2011-04-19:05:55:00,6.57
2011-04-19:06:00:00,3.3449999999999998
2011-04-19:06:05:00,13.815000000000001
2011-04-19:06:10:00,16.71
2011-04-19:06:15:00,11.01
2011-04-19:06:20:00,11.31
2011-04-19:06:25:00,11.235
2011-04-19:06:30:00,9.149999999999999
2011-04-19:06:35:00,32.085
2011-04-19:06:40:00,10.305
2011-04-19:06:45:00,10.56
2011-04-19:06:50:00,8.399999999999999
2011-04-19:06:55:00,8.22
2011-04-19:07:00:00,25.424999999999997
2011-04-19:07:05:00,4.785
2011-04-19:07:10:00,7.470000000000001
2011-04-19:07:15:00,18.84
2011-04-19:07:20:00,10.425
2011-04-19:07:25:00,4.83
2011-04-19:07:30:00,2.625
2011-04-19:07:35:00,3.12
2011-04-19:07:40:00,2.7600000000000002
2011-04-19:07:45:00,2.295
2011-04-19:07:50:00,3.7199999999999998
2011-04-19:07:55:00,2.46
2011-04-19:08:00:00,3.495
2011-04-19:08:05:00,3.4050000000000002
2011-04-19:08:10:00,3.7350000000000003
2011-04-19:08:15:00,5.43
2011-04-19:08:20:00,3.87
2011-04-19:08:25:00,2.73
2011-04-19:08:30:00,4.785
2011-04-19:08:35:00,4.275
2011-04-19:08:40:00,5.16
2011-04-19:08:45:00,3.3000000000000003
2011-04-19:08:50:00,2.7600000000000002
2011-04-19:08:55:00,6.63
2011-04-19:09:00:00,38.07
2011-04-19:09:05:00,9.959999999999999
2011-04-19:09:10:00,6.824999999999999
2011-04-19:09:15:00,6.705
2011-04-19:09:20:00,3.63
2011-04-19:09:25:00,6.9750000000000005
2011-04-19:09:30:00,7.98
2011-04-19:09:35:00,5.475
2011-04-19:09:40:00,6.915000000000001
2011-04-19:09:45:00,8.265
2011-04-19:09:50:00,9.015
2011-04-19:09:55:00,7.215
2011-04-19:10:00:00,11.805
2011-04-19:10:05:00,8.205
2011-04-19:10:10:00,12.629999999999999
2011-04-19:10:15:00,13.274999999999999
2011-04-19:10:20:00,14.76
2011-04-19:10:25:00,16.14
2011-04-19:10:30:00,14.235
2011-04-19:10:35:00,15.855
